Experiment: 1,    Subject: 1 
AngleDiff   Noise  RefAngle   SubjDecision  SubjEstimate  Feedback   TrialOrder 
   -18       18      26.67         -1         42.06547         -1       1557 
   -18       18      30.00         -1         45.89633         -1        628 
   -18       18      33.33         -1         44.41351         -1       1196 
   -18       18      36.67         -1         47.65729         -1        640 
   -18       18      40.00         -1         49.37748         -1        261 
   -18       18      43.33         -1         49.64440         -1        722 
   -18       18      46.67         -1         62.97023         -1        151 
   -18       18      50.00         -1         71.83829         -1        795 
   -18       18      53.33         -1         64.65491         -1        875 
   -18       18      56.67         -1         61.47399         -1        149 
   -18       18      60.00         -1         66.91277         -1       1078 
   -18       18      63.33         -1         78.25964         -1        164 
   -18       18      66.67         -1         87.08248         -1        859 
   -18       18      70.00         -1         79.55781         -1       1507 
   -18       18      73.33         -1         94.26203         -1       1329 
   -18       18      76.67         -1         83.51285         -1       1629 
   -18       18      80.00         -1         92.91926         -1         56 
   -18       18      83.33         -1         99.57230         -1         82 
   -18       18      86.67         -1         99.13480         -1        754 
   -18       18      90.00         -1        100.00868         -1       1389 
   -18       18      93.33         -1        111.52585         -1        766 
   -18       18      96.67         -1        111.52585         -1       1237 
   -18       18     100.00         -1        112.31166         -1       1612 
   -18       18     103.33         -1        113.64187         -1        933 
   -18       18     106.67         -1        122.79978         -1       1306 
   -18       18     110.00         -1        129.55978         -1        388 
   -18       18     113.33         -1        128.09792         -1         61 
   -18       18     116.67         -1        126.32201         -1       1286 
   -18       18     120.00         -1        135.30155         -1       1377 
   -18       18     123.33         -1        140.16684         -1        742 
   -18       18     126.67         -1        144.21084         -1        791 
   -18       18     130.00         -1        148.74252         -1        447 
   -18       18     133.33         -1        138.02864         -1         79 
   -18       18     136.67         -1        156.05914         -1       1232 
   -18       18     140.00         -1        151.96580         -1        501 
   -18       18     143.33         -1        155.48342         -1        731 
   -18       18     146.67         -1        162.81589         -1       1023 
   -18       18     150.00         -1        163.90458         -1        421 
   -18       18     153.33         -1        174.84530         -1       1281 
   -18       18     156.67         -1        169.55612         -1       1217 
   -18       18     160.00         -1        178.42672         -1        515 
   -18       18     163.33         -1        173.51112         -1       1473 
   -18       18     166.67         -1        175.29135         -1       1303 
   -18       18     170.00         -1        175.29135         -1        200 
   -18       18     173.33         -1          1.12241         -1        155 
   -18       18     176.67         -1          4.70691         -1       1136 
   -18       18     180.00         -1         20.22377         -1         48 
   -15        3       0.00         -1          8.25491         -1       1331 
   -15        3       3.33         -1         16.92646         -1        509 
   -15        3       6.67         -1         21.59842         -1        109 
   -15        3      10.00         -1         22.80118         -1        414 
   -15        3      13.33         -1         25.89440         -1       1019 
   -15        3      16.67         -1         31.24606         -1        419 
   -15        3      20.00         -1         31.67658         -1       1632 
   -15        3      23.33         -1         31.81049         -1        245 
   -15        3      26.67         -1         44.70581         -1       1143 
   -15        3      30.00         -1         48.83482         -1        873 
